-33 2327 -33 2336
a8459 1444 512 8 16
a7128 664 0 84 96
a8458 1453 512 14 16
a9789 1468 512 4 16
a7129 1473 512 6 16
a12101 1480 512 4 16
a12102 1485 512 4 16
a12103 1490 512 14 16
a12104 1505 512 16 16
a12105 1522 512 8 16
a12106 1531 512 2 16
a12107 1534 512 6 16
a12108 1541 512 12 16
a12109 1554 512 12 16
a12100 1567 512 8 16
a12134 1576 512 12 16
a12135 1589 512 8 16
a12136 1598 512 10 16
a12137 1609 512 14 16
a12138 1624 512 4 16
a12139 1629 512 2 16
a9621 1632 512 18 16
a9620 1651 512 14 16
a9623 1666 512 14 16
a9622 1681 512 6 16
a9614 1688 512 6 16
a9613 1695 512 14 16
a9616 1710 512 16 16
a9615 1727 512 16 16
a9618 1744 512 16 16
a9617 1761 512 14 16
a9619 1776 512 14 16
a12130 1791 512 6 16
a12131 1798 512 42 16
a12132 1841 512 4 16
a12133 1846 512 12 16
a12145 1859 512 8 16
a12146 1868 512 2 16
a12147 1871 512 20 16
a12148 1892 512 8 16
a12149 1901 512 2 16
a9610 1904 512 2 16
a9612 1907 512 8 16
a9611 1916 512 6 16
a9603 1923 512 8 16
a9602 1932 512 4 16
a9605 1937 512 42 16
a9604 1980 512 8 16
a9607 1989 512 28 16
a9606 2018 512 24 16
a9609 2043 512 8 16
a9608 2052 512 8 16
a12140 2061 512 6 16
a12141 2068 512 8 16
a12142 2077 512 8 16
a12143 2086 512 14 16
a12144 2101 512 6 16
a12112 2108 512 8 16
a12113 2117 512 8 16
a12114 2126 512 4 16
a12115 2131 512 6 16
a12116 2138 512 14 16
a12117 2153 512 14 16
a12118 2168 512 6 16
a12119 2175 512 6 16
a9601 2182 512 6 16
a9600 2189 512 8 16
a12110 664 96 84 96
a12111 2198 512 4 16
a12123 2203 512 8 16
a12124 2212 512 6 16
a12125 2219 512 6 16
a12126 2226 512 12 16
a12127 2239 512 6 16
a12128 2246 512 2 16
a12129 2249 512 6 16
a12120 2256 512 6 16
a12121 2263 512 4 16
a12122 2268 512 8 16
a12178 2277 512 12 16
a12179 2290 512 4 16
a12170 2295 512 4 16
a12171 2300 512 14 16
a12172 2315 512 2 16
a12173 2318 512 4 16
a12174 2323 512 4 16
a12175 2328 512 14 16
a12176 2343 512 12 16
a12177 2356 512 28 16
a12189 2385 512 4 16
a12180 2390 512 2 16
a12181 2393 512 6 16
a12182 2400 512 4 16
a12183 2405 512 2 16
a12184 2408 512 8 16
a12185 2417 512 12 16
a12186 2430 512 6 16
a12187 1344 528 12 16
a12188 1357 528 10 16
a12156 664 192 84 96
a12157 1368 528 4 16
a12158 1373 528 4 16
a12159 1378 528 14 16
a12150 1393 528 16 16
a12151 1410 528 2 16
a12152 1413 528 26 16
a12153 1440 528 14 16
a12154 1455 528 4 16
a12155 1460 528 8 16
a12167 1469 528 16 16
a12168 1486 528 8 16
a12169 1495 528 14 16
a12160 1510 528 14 16
a12161 1525 528 14 16
a12162 664 288 84 96
a12163 1540 528 14 16
a12164 1555 528 14 16
a12165 1570 528 6 16
a12166 1577 528 6 16
a12190 1584 528 4 16
a12191 1589 528 6 16
a12192 1596 528 10 16
a12193 1607 528 14 16
a12194 1622 528 14 16
a12195 1637 528 16 16
a12196 1654 528 4 16
a12197 1659 528 4 16
a12198 1664 528 2 16
a12199 1667 528 16 16
a7080 1684 528 14 16
a7081 1699 528 12 16
a7082 1712 528 18 16
a7083 1731 528 2 16
a7084 1734 528 4 16
a7085 1739 528 12 16
a7086 1752 528 8 16
a7087 1761 528 6 16
a7088 1768 528 6 16
a7089 1775 528 14 16
a7070 1790 528 12 16
a7071 1803 528 14 16
a7072 1818 528 14 16
a7073 1833 528 6 16
a7074 1840 528 6 16
a7075 1847 528 14 16
a7076 1862 528 16 16
a7077 1879 528 14 16
a7078 1894 528 2 16
a7079 1897 528 8 16
a8390 1906 528 8 16
a7060 1915 528 16 16
a8392 1932 528 14 16
a7061 1947 528 8 16
a8391 1956 528 4 16
a7062 1961 528 14 16
a8394 1976 528 8 16
a7063 1985 528 2 16
a8393 1988 528 14 16
a7064 2003 528 2 16
a8396 2006 528 24 16
a7065 2031 528 20 16
a8395 2052 528 12 16
a7066 2065 528 12 16
a8398 2078 528 6 16
a7067 2085 528 6 16
a8397 2092 528 18 16
a7068 2111 528 2 16
a7069 2114 528 4 16
a8399 2119 528 4 16
a8381 2124 528 12 16
a7050 2137 528 8 16
a8380 2146 528 12 16
a7051 2159 528 6 16
a8383 2166 528 2 16
a7052 2169 528 42 16
a8382 2212 528 6 16
a7053 2219 528 14 16
a8385 2234 528 14 16
a7054 2249 528 8 16
a8384 2258 528 16 16
a7055 2275 528 6 16
a8387 2282 528 2 16
a7056 2285 528 14 16
a8386 2300 528 8 16
a7057 2309 528 42 16
a8389 2352 528 2 16
a7058 2355 528 8 16
a8388 2364 528 6 16
a7059 2371 528 24 16
a7090 2396 528 14 16
a7091 2411 528 2 16
a7092 2414 528 2 16
a7093 2417 528 8 16
a7094 2426 528 2 16
a7095 1344 544 12 16
a7096 1357 544 6 16
a7097 1364 544 8 16
a7098 1373 544 14 16
a7099 1388 544 6 16
a8330 1395 544 6 16
a9661 1402 544 8 16
a9660 1411 544 2 16
a7000 1414 544 8 16
a8332 1423 544 6 16
a9663 1430 544 8 16
a7001 1439 544 6 16
a8331 1446 544 8 16
a9662 1455 544 28 16
a7002 1484 544 6 16
a8334 1491 544 14 16
a9665 1506 544 6 16
a7003 1513 544 6 16
a8333 1520 544 16 16
a9664 1537 544 8 16
a7004 1546 544 42 16
a8336 1589 544 2 16
a9667 1592 544 14 16
a7005 1607 544 8 16
a8335 1616 544 8 16
a9666 1625 544 4 16
a8327 1630 544 8 16
a9658 1639 544 6 16
a8326 1646 544 6 16
a9657 1653 544 10 16
a8329 1664 544 6 16
a8328 1671 544 2 16
a9659 1674 544 24 16
a9650 1699 544 4 16
a8321 1704 544 24 16
a9652 1729 544 6 16
a8320 1736 544 12 16
a9651 1749 544 24 16
a8323 1774 544 2 16
a9654 1777 544 2 16
a8322 1780 544 2 16
a9653 664 384 84 96
a8325 1783 544 14 16
a9656 1798 544 14 16
a8324 1813 544 8 16
a9655 1822 544 6 16
a8316 1829 544 2 16
a9647 1832 544 12 16
a8315 1845 544 20 16
a9646 1866 544 4 16
a8318 1871 544 4 16
a9649 1876 544 6 16
a8317 1883 544 6 16
a9648 1890 544 16 16
a8319 1907 544 14 16
a8310 1922 544 8 16
a9641 1931 544 2 16
a9640 1934 544 14 16
a8312 1949 544 18 16
a9643 1968 544 14 16
a8311 1983 544 14 16
a9642 1998 544 14 16
a8314 2013 544 18 16
a9645 2032 544 28 16
a8313 2061 544 8 16
a9644 2070 544 28 16
a8305 2099 544 2 16
a9636 2102 544 6 16
a8304 664 480 84 96
a9635 2109 544 4 16
a8307 2114 544 14 16
a9638 2129 544 2 16
a8306 2132 544 14 16
a9637 2147 544 8 16
a8309 2156 544 4 16
a8308 2161 544 20 16
a9639 2182 544 6 16
a9630 2189 544 2 16
a8301 2192 544 10 16
a9632 2203 544 4 16
a8300 2208 544 8 16
a9631 2217 544 12 16
a8303 2230 544 2 16
a9634 2233 544 8 16
a8302 2242 544 14 16
a9633 2257 544 4 16
a9625 2262 544 6 16
a9624 2269 544 6 16
a9627 2276 544 12 16
a9626 2289 544 16 16
a9629 2306 544 8 16
a9628 2315 544 16 16
a8370 2332 544 2 16
a7040 2335 544 2 16
a8372 2338 544 4 16
a7041 2343 544 8 16
a8371 2352 544 8 16
a7042 2361 544 2 16
a8374 2364 544 8 16
a7043 2373 544 14 16
a8373 2388 544 6 16
a7044 2395 544 12 16
a8376 2408 544 4 16
a7045 2413 544 16 16
a8375 2430 544 8 16
p120 2182 -33 1 1
a7046 1344 560 2 16
a8378 1347 560 8 16
a7047 1356 560 8 16
a8377 1365 560 14 16
a7048 1380 560 16 16
a7049 1397 560 16 16
a8379 1414 560 6 16
p113 1919 -33 1 1
a7039 1421 560 2 16
p112 1881 -33 1 1
p111 1844 -33 1 1
p110 1806 -33 1 1
p117 2069 -33 1 1
p116 2032 -33 1 1
p115 1994 -33 1 1
p114 1956 -33 1 1
p119 2145 -33 1 1
p118 2107 -33 1 1
a9690 1424 560 8 16
a8361 1433 560 12 16
a9692 1446 560 2 16
a7030 1449 560 18 16
a8360 1468 560 2 16
a9691 1471 560 2 16
a7031 1474 560 6 16
a8363 1481 560 2 16
a9694 1484 560 6 16
a7032 1491 560 12 16
a8362 1504 560 6 16
a9693 1511 560 12 16
a7033 1524 560 14 16
a8365 1539 560 8 16
a9696 1548 560 2 16
a7034 1551 560 16 16
a8364 1568 560 14 16
a9695 1583 560 2 16
a7035 1586 560 8 16
a8367 1595 560 6 16
a9698 1602 560 14 16
a7036 1617 560 8 16
a8366 1626 560 12 16
a9697 1639 560 8 16
a7037 1648 560 2 16
a8369 1651 560 6 16
a7038 1658 560 2 16
a8368 1661 560 16 16
a9699 1678 560 12 16
p102 1505 -33 1 1
a7028 1691 560 16 16
p101 1467 -33 1 1
a7029 1708 560 2 16
a8359 1711 560 8 16
p100 1430 -33 1 1
p106 1655 -33 1 1
p105 1618 -33 1 1
p104 1580 -33 1 1
p103 1543 -33 1 1
p109 1768 -33 1 1
p108 1731 -33 1 1
p107 1693 -33 1 1
a8350 1720 560 18 16
a9681 1739 560 8 16
a9680 1748 560 6 16
a7020 1755 560 2 16
a8352 1758 560 14 16
a9683 1773 560 14 16
a7021 1788 560 20 16
a8351 1809 560 2 16
a9682 1812 560 2 16
a7022 1815 560 6 16
a8354 1822 560 14 16
a9685 1837 560 2 16
a7023 1840 560 8 16
a8353 1849 560 6 16
a9684 1856 560 6 16
p142 -33 706 1 1
a7024 1863 560 8 16
a8356 1872 560 12 16
a9687 1885 560 8 16
p141 -33 669 1 1
a7025 1894 560 14 16
a8355 1909 560 6 16
a9686 664 576 84 96
p140 -33 632 1 1
a7026 1916 560 12 16
a8358 1929 560 4 16
a9689 1934 560 2 16
a7027 1937 560 4 16
a8357 1942 560 4 16
a9688 1947 560 4 16
p135 -33 446 1 1
a7017 1952 560 12 16
a8349 1965 560 12 16
p134 -33 409 1 1
a7018 1978 560 30 16
a8348 2009 560 6 16
a9679 2016 560 14 16
p133 -33 372 1 1
a7019 2031 560 14 16
p132 -33 334 1 1
p139 -33 595 1 1
p138 -33 557 1 1
p137 -33 520 1 1
p136 -33 483 1 1
a9670 2046 560 8 16
a8341 2055 560 16 16
a9672 2072 560 16 16
a7010 2089 560 8 16
a8340 2098 560 12 16
a9671 2111 560 8 16
a7011 2120 560 8 16
a8343 2129 560 8 16
a9674 2138 560 14 16
a7012 2153 560 16 16
a8342 2170 560 12 16
a9673 2183 560 4 16
p131 -33 297 1 1
a7013 2188 560 2 16
a8345 2191 560 4 16
a9676 2196 560 4 16
p130 -33 260 1 1
a7014 2201 560 6 16
a8344 2208 560 8 16
a9675 2217 560 2 16
a7015 2220 560 8 16
a8347 2229 560 4 16
a9678 2234 560 2 16
a7016 2237 560 14 16
a8346 2252 560 2 16
a9677 2255 560 6 16
p124 -33 37 1 1
a7006 2262 560 2 16
a8338 2265 560 8 16
a9669 2274 560 4 16
p123 -33 0 1 1
a7007 2279 560 8 16
a8337 2288 560 6 16
a9668 664 672 84 96
p122 2257 -33 1 1
a7008 2295 560 8 16
p121 2220 -33 1 1
a7009 2304 560 8 16
a8339 2313 560 6 16
p128 -33 186 1 1
p127 -33 149 1 1
p126 -33 111 1 1
p125 -33 74 1 1
p129 -33 223 1 1
p160 -33 1375 1 1
p164 -33 1524 1 1
a9940 2320 560 22 16
p163 -33 1486 1 1
p162 -33 1449 1 1
a8611 2343 560 6 16
a9942 2350 560 4 16
p161 -33 1412 1 1
a8610 2355 560 6 16
a9941 2362 560 2 16
p157 -33 1263 1 1
a8602 2365 560 14 16
a9933 2380 560 4 16
p156 -33 1226 1 1
a8601 2385 560 14 16
a9932 2400 560 4 16
p155 -33 1189 1 1
a8604 2405 560 14 16
a9935 2420 560 8 16
p154 -33 1152 1 1
a8603 1344 576 14 16
a9934 1359 576 14 16
a8606 1374 576 16 16
a9937 1391 576 8 16
a8605 1400 576 4 16
a9936 1405 576 2 16
p159 -33 1338 1 1
a8608 1408 576 8 16
a9939 1417 576 24 16
p158 -33 1301 1 1
a8607 1442 576 2 16
a9938 1445 576 16 16
a8609 1462 576 6 16
p153 -33 1115 1 1
p152 -33 1078 1 1
p151 -33 1041 1 1
a8600 664 768 84 96
a9931 1469 576 8 16
p150 -33 1003 1 1
a9930 1478 576 6 16
p146 -33 855 1 1
a9922 1485 576 8 16
p145 -33 818 1 1
a9921 1494 576 20 16
p144 -33 780 1 1
a9924 1515 576 8 16
p143 -33 743 1 1
a9923 1524 576 14 16
a9926 1539 576 8 16
p149 -33 966 1 1
a9925 1548 576 24 16
p148 -33 929 1 1
a9928 1573 576 4 16
p147 -33 892 1 1
a9927 1578 576 6 16
a9929 1585 576 2 16
p182 -33 2193 1 1
p181 -33 2155 1 1
p180 -33 2118 1 1
p186 2327 38 1 1
p185 2327 1 1 1
p184 -33 2267 1 1
a9920 1588 576 8 16
p183 -33 2230 1 1
p179 -33 2081 1 1
a9911 1597 576 14 16
p178 -33 2044 1 1
a9910 1612 576 6 16
p177 -33 2007 1 1
a9913 1619 576 16 16
p176 -33 1970 1 1
a9912 1636 576 8 16
a9915 1645 576 6 16
a9914 1652 576 8 16
a9917 1661 576 8 16
a9916 1670 576 8 16
a9919 1679 576 2 16
a9918 1682 576 14 16
p171 -33 1784 1 1
p170 -33 1747 1 1
p175 -33 1932 1 1
p174 -33 1895 1 1
p173 -33 1858 1 1
p172 -33 1821 1 1
p168 -33 1672 1 1
a9900 1697 576 12 16
p167 -33 1635 1 1
p166 -33 1598 1 1
a9902 1710 576 6 16
p165 -33 1561 1 1
a9901 1717 576 6 16
a9904 1724 576 14 16
a9903 1739 576 4 16
a9906 1744 576 14 16
p169 -33 1709 1 1
a9905 1759 576 18 16
a9908 1778 576 2 16
a9907 1781 576 2 16
a9909 1784 576 2 16
a9980 1787 576 14 16
a8651 1802 576 8 16
a9982 1811 576 2 16
a7320 1814 576 2 16
a8650 1817 576 14 16
a9981 1832 576 2 16
a7321 1835 576 14 16
a8653 1850 576 20 16
a9984 1871 576 18 16
a7322 1890 576 8 16
a8652 1899 576 8 16
a9983 1908 576 2 16
a7323 1911 576 14 16
a8655 1926 576 6 16
a9986 1933 576 8 16
a7324 1942 576 14 16
a8654 1957 576 16 16
a9985 1974 576 16 16
a7314 1991 576 18 16
a8646 2010 576 12 16
a9977 2023 576 6 16
a7315 2030 576 8 16
a8645 2039 576 24 16
a9976 2064 576 14 16
p199 2327 521 1 1
a7316 2079 576 2 16
a8648 2082 576 6 16
a9979 2089 576 8 16
p198 2327 484 1 1
a7317 2098 576 14 16
a8647 2113 576 6 16
a9978 2120 576 10 16
a7318 2131 576 12 16
a7319 2144 576 24 16
a8649 2169 576 8 16
p193 2327 298 1 1
p192 2327 261 1 1
p191 2327 224 1 1
a8640 2178 576 4 16
a9971 2183 576 18 16
p190 2327 187 1 1
a9970 2202 576 12 16
p197 2327 447 1 1
a7310 2215 576 12 16
a8642 2228 576 8 16
a9973 2237 576 8 16
p196 2327 410 1 1
a7311 2246 576 6 16
a8641 2253 576 14 16
a9972 664 864 84 96
p195 2327 373 1 1
a7312 2268 576 6 16
a8644 2275 576 8 16
a9975 2284 576 2 16
p194 2327 335 1 1
a7313 2287 576 6 16
a8643 2294 576 8 16
a9974 2303 576 14 16
a7303 2318 576 2 16
a8635 2321 576 8 16
a9966 2330 576 8 16
p189 2327 150 1 1
a7304 2339 576 8 16
a8634 2348 576 14 16
a9965 2363 576 14 16
p188 2327 112 1 1
a7305 2378 576 6 16
a8637 2385 576 42 16
a9968 2428 576 6 16
p187 2327 75 1 1
a7306 1344 592 14 16
a8636 1359 592 4 16
a9967 1364 592 6 16
a7307 1371 592 2 16
a8639 1374 592 24 16
a7308 1399 592 14 16
a8638 1414 592 8 16
a9969 1423 592 2 16
a7309 1426 592 2 16
a9960 1429 592 6 16
a8631 1436 592 6 16
a9962 1443 592 6 16
a7300 1450 592 14 16
a8630 1465 592 10 16
a9961 1476 592 8 16
a7301 1485 592 16 16
a8633 1502 592 8 16
a9964 1511 592 6 16
a7302 1518 592 12 16
a8632 1531 592 4 16
a9963 1536 592 6 16
a8624 1543 592 6 16
a9955 1550 592 12 16
a8623 1563 592 6 16
a9954 1570 592 2 16
a8626 1573 592 6 16
a9957 1580 592 14 16
a8625 1595 592 14 16
a9956 1610 592 8 16
a8628 1619 592 2 16
a9959 1622 592 6 16
a8627 1629 592 8 16
a9958 1638 592 24 16
a8629 1663 592 2 16
a8620 1666 592 2 16
a9951 1669 592 4 16
a9950 1674 592 8 16
a8622 1683 592 4 16
a9953 1688 592 4 16
a8621 1693 592 18 16
a9952 1712 592 8 16
a8613 1721 592 14 16
a9944 1736 592 2 16
a8612 1739 592 6 16
a9943 664 960 84 96
a8615 1746 592 8 16
a9946 1755 592 16 16
a8614 1772 592 16 16
a9945 1789 592 20 16
a8617 1810 592 12 16
a9948 1823 592 14 16
a8616 1838 592 6 16
a9947 1845 592 8 16
a8619 1854 592 14 16
a8618 664 1056 84 96
a9949 1869 592 4 16
a6090 1874 592 12 16
a6091 1887 592 14 16
a6092 1902 592 14 16
a6093 1917 592 2 16
a6094 1920 592 8 16
a6095 1929 592 6 16
a6096 1936 592 6 16
a6097 1943 592 4 16
a6098 1948 592 14 16
a6099 1963 592 6 16
a6080 1970 592 14 16
a6081 1985 592 12 16
a6082 1998 592 28 16
a6083 2027 592 8 16
a6084 2036 592 30 16
a6085 2067 592 16 16
a6086 2084 592 4 16
a6087 2089 592 4 16
a6088 2094 592 6 16
a6089 2101 592 14 16
p10 339 2336 1 1
p12 414 2336 1 1
p11 376 2336 1 1
p14 489 2336 1 1
p13 451 2336 1 1
p16 564 2336 1 1
p15 527 2336 1 1
p18 640 2336 1 1
p17 602 2336 1 1
p19 677 2336 1 1
p21 752 2336 1 1
p20 715 2336 1 1
p23 828 2336 1 1
p22 790 2336 1 1
p25 903 2336 1 1
p24 865 2336 1 1
p27 978 2336 1 1
p26 941 2336 1 1
p29 1053 2336 1 1
p28 1016 2336 1 1
p30 1091 2336 1 1
p32 1166 2336 1 1
p31 1129 2336 1 1
p34 1242 2336 1 1
p33 1204 2336 1 1
p36 1317 2336 1 1
p35 1279 2336 1 1
p38 1392 2336 1 1
p37 1354 2336 1 1
p39 1430 2336 1 1
p41 1505 2336 1 1
p40 1467 2336 1 1
p43 1580 2336 1 1
p42 1543 2336 1 1
p45 1655 2336 1 1
p44 1618 2336 1 1
p47 1731 2336 1 1
p46 1693 2336 1 1
p49 1806 2336 1 1
p48 1768 2336 1 1
a8691 2116 592 8 16
a7360 2125 592 2 16
a8690 2128 592 2 16
a6030 2131 592 8 16
a7361 2140 592 6 16
a8693 2147 592 14 16
a6031 2162 592 6 16
a7362 2169 592 14 16
a8692 2184 592 6 16
p50 1844 2336 1 1
a6032 2191 592 14 16
a7363 2206 592 14 16
a8695 2221 592 8 16
a6033 2230 592 12 16
a7364 2243 592 8 16
a8694 2252 592 12 16
p52 1919 2336 1 1
a6034 2265 592 24 16
a7365 2290 592 42 16
a8697 2333 592 6 16
p51 1881 2336 1 1
a6035 2340 592 8 16
a7366 2349 592 14 16
a8696 2364 592 4 16
p54 1994 2336 1 1
a6036 2369 592 16 16
a7367 2386 592 8 16
a8699 2395 592 6 16
p53 1956 2336 1 1
a6037 2402 592 4 16
a7368 2407 592 8 16
a8698 2416 592 2 16
p56 2069 2336 1 1
a6027 2419 592 6 16
a7358 2426 592 14 16
p55 2032 2336 1 1
a6028 1344 608 4 16
a7359 1349 608 16 16
a8689 1366 608 4 16
p58 2145 2336 1 1
a6029 1371 608 2 16
p57 2107 2336 1 1
p59 2182 2336 1 1
a8680 1374 608 8 16
a7350 1383 608 8 16
a8682 1392 608 14 16
a6020 1407 608 18 16
a7351 1426 608 8 16
a8681 1435 608 8 16
p61 2257 2336 1 1
a6021 1444 608 6 16
a7352 1451 608 8 16
a8684 1460 608 6 16
p60 2220 2336 1 1
a6022 1467 608 6 16
a7353 1474 608 10 16
a8683 1485 608 6 16
p63 38 -33 1 1
a6023 1492 608 8 16
a7354 1501 608 8 16
a8686 1510 608 6 16
p62 0 -33 1 1
a6024 1517 608 8 16
a7355 1526 608 4 16
a8685 1531 608 10 16
p65 113 -33 1 1
a6025 1542 608 14 16
a7356 1557 608 2 16
a8688 1560 608 6 16
p64 75 -33 1 1
a6026 1567 608 16 16
a7357 1584 608 2 16
a8687 1587 608 14 16
p67 188 -33 1 1
a6016 1602 608 20 16
a7347 1623 608 14 16
a8679 1638 608 2 16
p66 150 -33 1 1
a6017 1641 608 6 16
a7348 1648 608 14 16
a8678 1663 608 8 16
p69 263 -33 1 1
a6018 1672 608 4 16
a7349 1677 608 16 16
p68 226 -33 1 1
a6019 1694 608 14 16
p70 301 -33 1 1
a8671 1709 608 10 16
a7340 1720 608 8 16
a8670 1729 608 8 16
p72 376 -33 1 1
a6010 1738 608 14 16
a7341 1753 608 2 16
a8673 1756 608 6 16
p71 339 -33 1 1
a6011 1763 608 8 16
a7342 1772 608 8 16
a8672 1781 608 12 16
p74 451 -33 1 1
a6012 1794 608 6 16
a7343 1801 608 8 16
a8675 1810 608 6 16
p73 414 -33 1 1
a6013 1817 608 4 16
a7344 1822 608 14 16
a8674 1837 608 6 16
p76 527 -33 1 1
a6014 1844 608 16 16
a7345 1861 608 6 16
a8677 1868 608 16 16
p75 489 -33 1 1
a6015 1885 608 6 16
a7346 1892 608 2 16
a8676 1895 608 6 16
p78 602 -33 1 1
p212 2327 1004 1 1
a6005 1902 608 6 16
a7336 1909 608 14 16
a8668 1924 608 2 16
a9999 1927 608 6 16
p77 564 -33 1 1
p211 2327 967 1 1
a6006 1934 608 8 16
a7337 1943 608 42 16
a8667 1986 608 8 16
a9998 1995 608 6 16
p210 2327 930 1 1
a6007 2002 608 6 16
a7338 2009 608 12 16
p79 640 -33 1 1
a6008 2022 608 4 16
a7339 2027 608 14 16
a8669 2042 608 8 16
p216 2327 1153 1 1
a6009 2051 608 14 16
p215 2327 1116 1 1
p214 2327 1079 1 1
p213 2327 1042 1 1
p219 2327 1264 1 1
p218 2327 1227 1 1
p217 2327 1190 1 1
p81 715 -33 1 1
a8660 2066 608 8 16
a9991 2075 608 2 16
p80 677 -33 1 1
a9990 2078 608 12 16
p83 790 -33 1 1
a7330 2091 608 26 16
a8662 2118 608 12 16
a9993 2131 608 8 16
p82 752 -33 1 1
a6000 2140 608 6 16
a7331 2147 608 4 16
a8661 2152 608 16 16
a9992 2169 608 8 16
p85 865 -33 1 1
a6001 2178 608 12 16
a7332 2191 608 24 16
a8664 2216 608 6 16
a9995 2223 608 8 16
p84 828 -33 1 1
a6002 2232 608 6 16
a7333 2239 608 6 16
a8663 2246 608 8 16
a9994 2255 608 8 16
p87 941 -33 1 1
a6003 2264 608 8 16
a7334 2273 608 4 16
a8666 2278 608 8 16
a9997 2287 608 8 16
p86 903 -33 1 1
a6004 2296 608 14 16
a7335 2311 608 12 16
a8665 2324 608 14 16
a9996 2339 608 14 16
p89 1016 -33 1 1
p201 2327 596 1 1
a7325 2354 608 6 16
a8657 2361 608 14 16
a9988 2376 608 14 16
p88 978 -33 1 1
p200 2327 558 1 1
a7326 2391 608 20 16
a8656 2412 608 4 16
a9987 2417 608 2 16
a7327 1344 624 16 16
a8659 1361 624 16 16
a7328 1378 624 2 16
a8658 1381 624 14 16
a9989 1396 624 16 16
p205 2327 744 1 1
a7329 1413 624 2 16
p204 2327 707 1 1
p203 2327 670 1 1
p202 2327 633 1 1
p209 2327 893 1 1
p208 2327 856 1 1
p207 2327 819 1 1
p206 2327 781 1 1
a6070 1416 624 2 16
a6071 1419 624 6 16
p90 1053 -33 1 1
a6072 1426 624 14 16
a6073 1441 624 6 16
p92 1129 -33 1 1
a6074 1448 624 8 16
p91 1091 -33 1 1
a6075 1457 624 2 16
p94 1204 -33 1 1
a6076 1460 624 16 16
p93 1166 -33 1 1
a6077 1477 624 6 16
p96 1279 -33 1 1
p241 2327 2082 1 1
a6078 1484 624 14 16
p95 1242 -33 1 1
p240 2327 2045 1 1
a6079 1499 624 14 16
p98 1354 -33 1 1
p97 1317 -33 1 1
p234 2327 1822 1 1
p99 1392 -33 1 1
p233 2327 1785 1 1
p232 2327 1748 1 1
p231 2327 1710 1 1
p238 2327 1971 1 1
p237 2327 1933 1 1
p236 2327 1896 1 1
p235 2327 1859 1 1
p239 2327 2008 1 1
a7390 1514 624 6 16
a6060 1521 624 4 16
a7391 1526 624 14 16
a6061 1541 624 2 16
a7392 1544 624 8 16
a6062 1553 624 14 16
a7393 1568 624 2 16
a6063 1571 624 6 16
a7394 1578 624 14 16
a6064 1593 624 24 16
a7395 1618 624 8 16
a6065 1627 624 16 16
a7396 1644 624 16 16
a6066 1661 624 14 16
a7397 1676 624 14 16
p230 2327 1673 1 1
a6067 1691 624 8 16
a7398 1700 624 10 16
a6068 1711 624 4 16
a7399 1716 624 14 16
a6069 1731 624 6 16
p223 2327 1413 1 1
p222 2327 1376 1 1
p221 2327 1339 1 1
p220 2327 1302 1 1
p227 2327 1562 1 1
p226 2327 1525 1 1
p225 2327 1487 1 1
p224 2327 1450 1 1
p229 2327 1636 1 1
p228 2327 1599 1 1
a7380 1738 624 4 16
a6050 1743 624 8 16
a7381 664 1152 84 96
a6051 1752 624 16 16
a7382 1769 624 2 16
a6052 1772 624 6 16
a7383 1779 624 6 16
a6053 1786 624 42 16
a7384 1829 624 12 16
a6054 1842 624 8 16
a7385 1851 624 12 16
a6055 1864 624 6 16
a7386 1871 624 16 16
a6056 1888 624 14 16
a7387 1903 624 6 16
a6057 1910 624 16 16
a7388 1927 624 4 16
a6058 1932 624 6 16
a7389 1939 624 16 16
a6059 1956 624 8 16
a6049 1965 624 4 16
a7370 1970 624 18 16
a6040 1989 624 6 16
a7371 1996 624 18 16
a6041 2015 624 12 16
a7372 2028 624 14 16
a6042 2043 624 10 16
a7373 2054 624 6 16
a6043 2061 624 4 16
a7374 2066 624 6 16
a6044 2073 624 14 16
a7375 2088 624 4 16
a6045 2093 624 12 16
a7376 2106 624 12 16
a6046 2119 624 14 16
a7377 2134 624 14 16
a6047 2149 624 6 16
a7378 2156 624 2 16
a6048 2159 624 6 16
a7379 2166 624 12 16
p245 2327 2231 1 1
a6038 2179 624 12 16
a7369 2192 624 6 16
p244 2327 2194 1 1
a6039 2199 624 6 16
p243 2327 2156 1 1
p242 2327 2119 1 1
p246 2327 2268 1 1
a9821 2206 624 4 16
a9820 2211 624 8 16
a9812 2220 624 10 16
a9811 2231 624 4 16
a9814 2236 624 12 16
a9813 2249 624 8 16
a9816 2258 624 14 16
a9815 2273 624 6 16
a9818 2280 624 4 16
a9817 2285 624 4 16
a9819 2290 624 12 16
a9810 2303 624 2 16
a9801 2306 624 16 16
a9800 2323 624 8 16
a9803 2332 624 6 16
a9802 2339 624 8 16
a9805 2348 624 6 16
a9804 2355 624 8 16
a9807 2364 624 6 16
a9806 2371 624 2 16
a9809 2374 624 8 16
a9808 2383 624 8 16
a8530 2392 624 14 16
a9861 2407 624 26 16
a9860 2434 624 6 16
a7200 1344 640 8 16
a8532 1353 640 6 16
a9863 1360 640 14 16
a7201 1375 640 8 16
a8531 1384 640 16 16
a9862 1401 640 4 16
a7202 1406 640 12 16
a8534 1419 640 2 16
a9865 1422 640 8 16
a7203 1431 640 2 16
a8533 1434 640 2 16
a9864 1437 640 14 16
a8525 1452 640 8 16
a9856 1461 640 14 16
a8524 1476 640 8 16
a9855 1485 640 12 16
a8527 1498 640 14 16
